Species,bodymass,brainsize
Corvus bennetti,0.4,0.00667184
Corvus orru,0.5819,0.00923076
Myiagra rubecula,0.0126,0.00055944
Myiagra cyanoleuca,0.017,0.00065268
Myiagra alecto,0.0205,0.00075628
Myiagra inquieta,0.017,0.00078736
Carterornis leucotis,0.0121,0.00053872
Monarcha melanopsis,0.023,0.00095312
Symposiarchus trivirgatus,0.0131,0.00065268
Grallina cyanoleuca,0.088,0.00174048
Arses telescophthalmus,0.013,0.00064232
Corcorax melanorhamphos,0.36,0.0053872
Struthidea cinerea,0.135,0.00308728
Ptiloris paradiseus,0.12,0.00288008
Ptiloris victoriae,0.0965,0.00263144
Ptiloris magnificus,0.134,0.0029008
Microeca fascinans,0.0145,0.00055944
Microeca flavigaster,0.0123,0.00052836
Petroica boodang,0.0133,0.00053872
Petroica goodenovii,0.009,0.00038332
Petroica phoenicea,0.013,0.00050764
Petroica rosea,0.008,0.00044548
Petroica rodinogaster,0.0099,0.00050764
Melanodryas cucullata,0.0209,0.0008288
Melanodryas vittata,0.027,0.001036
Tregellasia capito,0.0136,0.00079772
Tregellasia leucops,0.0148,0.00061124
Eopsaltria australis,0.0199,0.00089096
Eopsaltria griseogularis,0.0201,0.00085988
Eopsaltria georgiana,0.0185,0.000777
Peneonanthe pulverulenta,0.02,0.00085988
Heteromyias cinereifrons,0.035,0.0010878
Poecilodryas superciliosa,0.0179,0.00095312
Poecilodryas cerviniventris,0.0199,0.00074592
Drymodes brunneopygia,0.0335,0.0009842
Mirafra javanica,0.0225,0.00075628
Cisticola exilis,0.0075,0.00040404
Acrocephalus orientalis,0.0173,0.00094276
Megalurus gramineus,0.0135,0.00058016
Megalurus mathewsi,0.029,0.0009324
Megalurus cruralis,0.0515,0.00116032
Zosterops lateralis,0.0118,0.00048692
Cheramoeca leucosterna,0.0141,0.00042476
Hirundo rustica,0.017,0.0005698
Hirundo neoxena,0.015,0.00049728
Petrochelidon ariel,0.0105,0.00037296
Petrochelidon nigricans,0.0167,0.00053872
Zoothera lunulata,0.1083,0.00223776
Zoothera heinei,0.085,0.0018648
Dicaeum hirundinaceum,0.009,0.00038332
Cinnyris jugularis,0.009,0.0004144
Taeniopygia guttata,0.012,0.00045584
Taeniopygia bichenovii,0.009,0.0004144
Poephila acuticauda,0.0145,0.00052836
Poephila cincta,0.015,0.00048692
Poephila personata,0.0125,0.000518
Neochmia phaeton,0.0099,0.000518
Neochmia temporalis,0.0094,0.00053872
Stagonopleura bella,0.014,0.00066304
Erythrura trichroa,0.0145,0.00060088
Erythrura gouldiae,0.0145,0.00054908
Anthus novaeseelandiae,0.0264,0.00087024
Motacilla sp.,0.023,0.0005698
Haematopus longirostris,0.6781,0.00473452
Haematopus fuliginosus,0.7594,0.00539756
Himantopus himantopus,0.1744,0.0019684
Recurvirostra novaehollandiae,0.3244,0.002072
Pluvialis fulva,0.1291,0.00199948
Pluvialis squatarola,0.2752,0.0026418
Charadrius ruficapillus,0.0375,0.00084952
Charadrius bicinctus,0.0586,0.00114996
Elseyornis melanops,0.0303,0.00087024
Thinornis rubricollis,0.1008,0.00117068
Erythrogonys cinctus,0.0484,0.00100492
Vanellus tricolor,0.1842,0.00247604
Vanellus miles,0.3598,0.0029526
Gallinago hardwickii,0.1537,0.0020202
Limosa lapponica,0.3336,0.00286972
Numenius phaeopus,0.3801,0.00324268
Numenius madagascariensis,0.7641,0.0048692
Actitis hypoleucos,0.0433,0.00089096
Tringa brevipes,0.1237,0.00140896
Tringa nebularia,0.1735,0.0019166
Tringa stagnatilis,0.0703,0.00105672
Arenaria interpres,0.1115,0.00138824
Calidris alba,0.0545,0.00104636
Calidris ruficollis,0.0268,0.00068376
Calidris melanotos,0.0609,0.00112924
Calidris acuminata,0.0646,0.00102564
Calidris ferruginea,0.0552,0.00102564
Anseranas semipalmata,NA,0.00931364
Anseranas semipalmata,NA,0.00891996
Dendrocygna viduata,NA,0.0045584
Dendrocygna viduata,NA,0.00438228
Cygnus olor,NA,0.01536388
Cygnus olor,NA,0.0141932
Cygnus atratus,NA,0.01273244
Cygnus atratus,NA,0.0122766
Branta canadensis,NA,0.01174824
Branta canadensis,NA,0.01209012
Chloephaga melanoptera,NA,0.00762496
Chloephaga melanoptera,NA,0.00796684
Alopochen aegyptiacus,NA,0.00746956
Alopochen aegyptiacus,NA,0.00712768
Tadorna ferruginea,NA,0.00586376
Tadorna ferruginea,NA,0.00563584
Tadorna tadornoides,NA,0.00615384
Tadorna tadornoides,NA,0.00603988
Tadorna variegate,NA,0.00573944
Tadorna variegate,NA,0.00566692
Tadorna tadorna,NA,0.00506604
Tadorna tadorna,NA,0.00469308
Callonetta leucophrys,NA,0.00308728
Callonetta leucophrys,NA,0.00283864
Chenonetta jubata,NA,0.00422688
Chenonetta jubata,NA,0.00397824
Hymenolaimus malacorhynchos,NA,0.00583268
Hymenolaimus malacorhynchos,NA,0.00496244
Anas gracilis,NA,0.00363636
Anas gracilis,NA,0.00363636
Anas castanea,NA,0.00369852
Anas castanea,NA,0.00365708
Anas querquedula,NA,0.00276612
Anas querquedula,NA,0.00277648
Aythya valisineria,NA,0.0070448
Aythya valisineria,NA,0.00470344
Aythya americana,NA,0.00548044
Aythya americana,NA,0.00567728
Bucephala clangula,NA,0.00605024
Bucephala clangula,NA,0.00578088
Bucephala islandica,NA,0.00634032
Bucephala islandica,NA,0.00607096
Cymbirhynchus macrorhynchus,NA,0.0015
Chamaeza campanisona,NA,0.0019
Pyroderus scutatus,NA,0.00445
Colonia colonus,NA,0.0013
Phytotoma rara,NA,0.0012
Menura novaehollandiae,0.91,0.0105
Garrulax leucolophus,NA,0.00255
Gymnorhina tibicen,NA,0.0041
Corvus albus,NA,0.0105
Corvus ruficollis,NA,0.0105
Corvus albicollis,NA,0.012
Corvus abyssinicus,NA,0.0145
Corvus capensis,NA,0.008
Urocissa erythrorhyncha,NA,0.0038
Cyanocorax chrysops,NA,0.0043
Dendrocitta cinerascense,NA,0.0028
Cyanopica cyanus,NA,0.003
Pica nuttalli,0.16,0.0043
Ptilostomus afer,0.13,0.0029
Corvus crassirostris,NA,0.014
Corvus rhipidurus,0.745,0.0094
Corvus cryptoleucus,0.535,0.0087
Corvus torquatus,NA,0.008
Corvus caurinus,0.39,0.007
Corvus ossifragus,0.285,0.0067
Corvus imparatus,NA,0.0044
Corvus palmarum,0.29,0.0059
Corvus nasicus,0.36,0.0059
Corvus leucognaphalus,NA,0.0087
Corvus jamaicensis,NA,0.007
Corvus enca,0.24,0.0066
Corvus orru,0.435,0.0081
Corvus bennetti,0.43,0.0079
Corvus validus,NA,0.0087
Corvus tristis,0.635,0.0103
Corvus moneduloides,0.275,0.0063
Corvus tropicus,NA,0.0099
Corvus macrorhynchos,0.49,0.0097
Corvus splendens,0.295,0.0057
Pyrrhocorax graculus,0.15,0.0035
Pyrrhocorax pyrrhocorax,0.3,0.0061
Podoces hendersoni,0.12,0.0039
Podoces panderi,NA,0.0026
Nucifraga caryocatactes,0.16,0.0054
Nucifraga columbiana,NA,0.0053
Gymnorhinus cyanocephalus,0.105,0.0026
Cyanopica cyanus,0.07,0.0027
Aphelocoma coerulescens,0.08,0.0028
Aphelocoma ultramarina,0.125,0.0037
Cyanolyca argentigula,0.2,0.0026
