Species,BodyMass,Longevity
Dendrolagus matschiei,4.16,NA
Dendrolagus goodfellowi,5.968,NA
Dendrolagus spadix,4.947,NA
Dendrolagus scottae,8.666,NA
Macropus dorsalis,8.728,NA
Dendrolagus inustus,10.119,NA
Dendrolagus dorianus,7.879,NA
Wallabia bicolor,8.949,NA
Macropus agilis,14.066,NA
Macropus rufogriseus,12.09,NA
Macropus parryi,15.194,NA
Lasiorhinus latifrons,19.264,NA
Macropus antilopinus,31.286,NA
Macropus fuliginosus,31.04,NA
Macropus robustus,35.54,NA
Vombatus ursinus,27.192,NA
Macropus rufus,44.841,NA
Macropus giganteus,38.977,NA
Dromiciops gliroides,0.0214,NA
Notoryctes caurinus,0.055,NA
Rhyncholestes raphanurus,0.02,NA
Caenolestes fuliginosus,0.0179,NA
Chaeropus ecaudatus,0.327,NA
Perameles bougainville,0.457,NA
Echymipera kalubu,0.697,NA
Echymipera rufescens,0.798,NA
Microperoryctes longicauda,0.479,NA
Macrotis leucura,0.877,NA
Isoodon macrourus,0.822,NA
Echymipera clara,1.207,NA
Perameles gunnii,1.002,NA
Perameles nasuta,0.96,NA
Peroryctes raffrayana,0.977,NA
Macrotis lagotis,1.859,NA
Antechinus wilhelmina,0.0182,NA
Isoodon obesulus,0.691,NA
Marmosa mitis,0.0505,NA
Petauroides volans,0.631,NA
Petrogale venusta,2.127,NA
Pseudocheirus occidentalis,0.759,NA
Trichosurus fuliginosus,3.492,NA
Solenodon paradoxus,0.9,NA
Tenrec ecaudatus,0.832,NA
Setifer setosus,0.248,NA
Hemicentetes semispinosus,0.11,NA
Echinops telfairi,0.0875,NA
Oryzorictes hova,0.0442,NA
Microgale cowani,0.0152,NA
Microgale dobsoni,0.0326,NA
Limnogale mergulus,0.092,NA
Potamogale velox,0.66,NA
Erinaceus europaeus,0.86,NA
Sorex minutus,0.0053,NA
Sorex araneus,0.0103,NA
Blarina brevicauda,0.0185,NA
Neomys fodiens,0.0152,NA
Sylvisorex megalura,0.0053,NA
Sylvisorex lunaris,0.0185,NA
Suncus murinus,0.0355,NA
Crocidura hildegardeae,0.0106,NA
Crocidura russula,0.011,NA
Crocidura niobe,0.0115,NA
Crocidura jacksoni,0.0126,NA
Crocidura occidenlalis,0.028,NA
Crocidura giffardi,0.082,NA
Crocidura pyrenaicus,0.0575,NA
Desmana moschata,0.44,NA
Talpa europaea,0.076,NA
Scalopus aquaticus,0.0396,NA
Chrysochloris asiatica,0.049,NA
Chrysochloris stuhlmanni,0.0398,NA
Elephantulus fuscipes,0.057,NA
Rhynchocyon stuhlmanni,0.49,NA
Tupaia javanica,0.105,NA
Tupaia glis,0.15,NA
Urogale everetti,0.275,NA
Cheirogaleus medius,0.177,NA
Cheirogaleus major,0.45,NA
Microcebus murinus,0.054,NA
Prolemur simus,1.3,NA
Lepilemur ruficaudatus,0.915,NA
Eulemur fulvus,1.4,NA
Eulemur albifrons,1.54,NA
Eulemur rufiventer,1.4,NA
Eulemur mongoz,1.6,NA
Eulemur catta,1.96,NA
Eulemur macaco,2.04,NA
Eulemur variegatus,3,NA
Avahi occidentalis,0.86,NA
Avahi laniger,1.27,NA
Propithecus coquereli,3.48,NA
Indri indri,6.25,NA
Daubentonia madagascariensis,2.8,NA
Loris tardigradus,0.322,NA
Nycticebus coucang,0.6,NA
Perodicticus potto,1.15,NA
Galagoides demidovii,0.081,NA
Galagoides senegalensis,0.186,NA
Galagoides crassicaudatus,0.85,NA
Carlito syrichta,0.0875,NA
Tarsius spectrum,0.17,NA
Artibeus jamaicensis,0.0375,NA
Artibeus lituratus,0.0587,NA
Carollia perspicillata,0.016,NA
Casinycteris argynnis,0.0405,NA
Cynopterus brachyotis,0.029,NA
Cynopterus horsfieldi,0.053,NA
Diaemus youngi,0.0346,NA
Diaemus rotundus,0.03,NA
Eonycteris spelea,0.05,NA
Glossophaga soricina,0.0112,NA
Hipposideros bicolor,0.0084,NA
Hipposideros caffer,0.0107,NA
Hypsignathus monstrosus,0.34,NA
Leptonycteris curasoae,0.0245,NA
Mimon crenulatum,0.0148,NA
Mormoops megalophylla,0.0156,NA
Myotis bechsteini,0.0075,NA
Myotis bocagei,0.0076,NA
Myotis dasycneme,0.015,NA
Myotis daubentoni,0.007,NA
Myotis myotis,0.025,NA
Myotis mystacinus,0.004,NA
Myotis nattereri,0.007,NA
Myotis nigricans,0.0045,NA
Noctilio leporinus,0.0585,NA
Nycteris arge,0.0106,NA
Nyctalus noctula,0.025,NA
Phyllostomus discolor,0.033,NA
Pteronotus davyi,0.0106,NA
Rhinolophus hipposideros,0.00715,NA
Rhynchonycteris naso,0.0043,NA
Rousettus aegyptiacus,0.13,NA
Saccopteryx bilineata,0.008,NA
Sturnira lilium,0.0171,NA
Uroderma bilobatum,0.0164,NA
Vampyrops helleri,0.0116,NA
Vespertilio serotinus,0.0234,NA
Vespertilio murinus,0.0333,NA
Scotophilus gigas,0.101,NA
Miniopterus schreibers,0.0127,NA
Tadarida albiventer,0.0115,NA
Chaerophon limbatus,0.0133,NA
Chaerophon Ieucostigma,0.0265,NA
Molossus major,0.013,NA
Molossus ate,0.0281,NA
Pteropus vampyru,1.22,NA
Epomophorus gambianus,0.309,NA
Pteropus edwarsi,0.287,NA
Semnopithecus entellus,7.01,NA
Semnopithecus entellus,4.4,NA
Cercopithecus callitrichus,3,NA
Cercopithecus griseoviridis,1.908,NA
Cercopithecus cynosurus,2.92,NA
Cercopithecus sabaeus,1.44,NA
Cercopithecus rufoviridis,2.05,NA
Papio cynocephalus,NA,NA
Cercocebus fuliginosus,3.09,NA
Cercocebus fuliginosus,NA,NA
Cercocebus fuliginosus,NA,NA
Cercocebus fuliginosus,2.25,NA
Cercocebus fuliginosus,7.735,NA
Cercocebus fuliginosus,2.815,NA
Macaca fascicularis,4.035,NA
Macaca fascicularis,2.05,NA
Macaca fascicularis,1.425,NA
Macaca fascicularis,1.21,NA
Macaca fascicularis,NA,NA
Macaca fascicularis,1.98,NA
Macaca fascicularis,NA,NA
Macaca fascicularis,2.49,NA
Macaca pileatus,2.22,NA
Macaca pileatus,1.72,NA
Macaca sylvanus,NA,NA
Macaca rhesus,NA,NA
Macaca rhesus,3.845,NA
Macaca rhesus,NA,NA
Macaca rhesus,1.752,NA
Macaca rhesus,2.634,NA
Macaca rhesus,1.86,NA
Macaca rhesus,2.625,NA
Macaca rhesus,1.985,NA
Macaca rhesus,1.42,NA
Macaca assamensis,3.655,NA
Macaca leonina,2.05,NA
Macaca nemestrina,6.625,NA
Ateles paniscus,2.55,NA
Ateles paniscus,2.035,NA
Ateles paniscus,2.305,NA
Cebus capucinus,1.92,NA
Cebus capucinus,0.9697,NA
Cebus olivaceus,1.262,NA
Sapajus libidinosus,2.645,NA
Sapajus libidinosus,2.52,NA
Cebus apella,NA,NA
Alouatta caraya,2.955,NA
Lagothrix lagothricha,2.55,NA
Aotus trivirgatus,0.48,NA
Saimiri sciureus,0.3285,NA
Saimiri sciureus,0.365,NA
Callithrix jacchus,0.242,NA
Callithrix jacchus,0.169,NA
Callithrix jacchus,0.225,NA
Callithrix jacchus,0.221,NA
Callithrix jacchus,0.155,NA
Callithrix jacchus,0.187,NA
Callithrix jacchus,0.235,NA
Leontopithecus rosalia,NA,NA
Leontopithecus rosalia,0.407,NA
Midas ursulus,0.225,NA
Propithecus coronatus,NA,NA
Eulemur macaco,1.29,NA
Eulemur macaco,1.2485,NA
Eulemur macaco,1.94,NA
Eulemur rufriventer,1.015,NA
Eulemur rufriventer,1.79,NA
Eulemur albifrons,1.54,NA
Eulemur mongoz,1.808,NA
Eulemur mongoz,1.305,NA
Eulemur mongoz,1.565,NA
Lemur catta,2.35,NA
Perodicticus potto,0.538,NA
Nycticebus tardigradus,0.527,NA
Nycticebus tardigradus,0.365,NA
Pteropus giganteus,0.382,NA
Pteropus giganteus,0.414,NA
Pteropus giganteus,0.325,NA
Pteropus giganteus,0.405,NA
Pteropus giganteus,0.323,NA
Pteropus giganteus,0.38,NA
Pteropus giganteus,0.395,NA
Erinaceus europaeus,0.718,NA
Erinaceus europaeus,0.669,NA
Erinaceus europaeus,0.515,NA
Erinaceus europaeus,0.497,NA
Erinaceus europaeus,0.925,NA
Erinaceus europaeus,0.92,NA
Erinaceus europaeus,0.985,NA
Erinaceus europaeus,0.448,NA
Erinaceus europaeus,0.69,NA
Talpa europaea,0.077,NA
Ailurus fulgens,5.59,NA
Mustela putorius,NA,NA
Mustela putorius,0.415,NA
Mustela erminea,0.179,NA
Mustela erminea,0.098,NA
Mustela erminea,0.102,NA
Galictis vittata,0.92,NA
Eira barbara,2,NA
Canis mesomelas,8,NA
Vulpes vulpes,2.91,NA
Vulpes vulpes,2.55,NA
Vulpes vulpes,4.235,NA
Vulpes vulpes,NA,NA
Mungos mungo,0.93,NA
Paradoxurus hermaphroditus,3.047,NA
Paradoxurus hermaphroditus,NA,NA
Dasyurus viverrinus,NA,NA
Arctictis binturong,NA,NA
Herpestes smithii,1.205,NA
Genetta pardina,1.032,NA
Caracal caracal,7.67,NA
Felis silvestris,3.96,NA
Felis silvestris,3.62,NA
Felis silvestris,3.46,NA
Felis silvestris,3.743,NA
Felis silvestris,2.577,NA
Felis silvestris,3.48,NA
Felis silvestris,3.58,NA
Felis silvestris,2.58,NA
Panthera leo,84,NA
Rubrisciurus rubriventer,0.365,NA
Rubrisciurus rubriventer,0.365,NA
Sciurus niger,0.328,NA
Marmota sibirica,1.89,NA
Ictidomys tridecemlineatus,0.2,NA
Ictidomys tridecemlineatus,0.115,NA
Glis glis,0.148,NA
Cricetus cricetus,0.297,NA
Rattus norvegicus,0.465,NA
Rattus norvegicus,0.254,NA
Gerbillus gerbillus,0.095,NA
Muscardinus avellanarius,0.013,NA
Allactaga saliens,0.193,NA
Jaculus orientalis,0.098,NA
Capromys pilorides,0.155,NA
Atherurus africanus,3.629,NA
Lagidium viscacia,2.252,NA
Lagidium viscacia,2.35,NA
Lagidium viscacia,3.845,NA
Lagidium viscacia,1.395,NA
Cuniculus paca,5.635,NA
Dolichotis patagonum,NA,NA
Cavia porcellus,0.348,NA
Cavia porcellus,0.648,NA
Cavia porcellus,0.493,NA
Cavia porcellus,0.1065,NA
Cavia apera,0.088,NA
Lepus europaeus,NA,NA
Oryctolagus cuniculus,2.844,NA
Oryctolagus cuniculus,2.217,NA
Oryctolagus cuniculus,0.622,NA
Procavia capensis,1.92,NA
Procavia capensis,0.6,NA
Pecari tajacu,NA,NA
Sus scrofa,NA,NA
Cervus canadensis,200,NA
Odocoileus hemionus,NA,NA
Rusa timorensis,NA,NA
Boselaphus tragocamelus,125,NA
Boselaphus tragocamelus,125,NA
Capra aegagrus,NA,NA
Capra aegagrus,NA,NA
Bos taurus,NA,NA
Euphractus sexcinctus,7.99,NA
Bradypus tridactylus,4.097,NA
Trichosurus vulpecula,1.62,NA
Macropus robustus,NA,NA
Onychogalea fraenata,1.433,NA
Didelphis marsupialis,1.7,NA
Lumbricus terrestris,0.00609,NA
Periplaneta americana,9.20E-05,NA
Melanoplus femurrubrum,0.000458,NA
Blaberus craniifer,0.004727,NA
Limax maximus,0.00417,NA
Rana catesbeiana,0.5199,NA
Phrynosoma coronatum,0.025,NA
Phrynosoma coronatum,0.0249,NA
Quiscalus quiscula aeneus,0.082,NA
Sialia sialis,0.034,NA
Sialia sialis,0.029,NA
Buteo vulpinus,0.558,NA
Cathartes aura,0.494,NA
Dumetella carolinensis,0.033,NA
Serinus canaria,0.0171,NA
Serinus canaria,0.0153,NA
Molothrus ater,0.066,NA
Balearica pavonina,4.071,NA
Balearica pavonina,4.825,NA
Antigone canadensis,1.651,NA
Corvus brachyrhynchos,0.337,NA
Alle alle,0.102,NA
Alle alle,0.104,NA
Anas acuta,0.67,NA
Haliaeetus vocifer,3.5,NA
Aquila rapax,2.625,NA
Aquila rapax,1.67,NA
Aquila rapax,2.438,NA
Casmerodius albus,1.03,NA
Ardea intermedia,0.525,NA
Phoeniconaias minor,1.483,NA
Phoeniconaias minor,1.598,NA
Gallus bankiva,1.263,NA
Gallus bankiva,2.2,NA
Alopochen aegyptiaca,1.935,NA
Numida meleagris,1.62,NA
Larus philadelphia,0.205,NA
Larus argentatus,0.535,NA
Larus delawarensis,0.72,NA
Puffinus griseus,0.268,NA
Accipiter striatus,0.52,NA
Falco sparverius,0.112,NA
Bucorvus leadbeateri,2.15,NA
Amazilia tzacatl,0.0048,NA
Gavia stellata,1.53,NA
Gavia stellata,1.568,NA
Fregata aquila,1.405,NA
Mergus serrator,0.77,NA
Struthio camelus,123,NA
Bubo virginianus,1.177,NA
Dendroperdix sephaena,0.208,NA
Pelicanus occidentalis,3.29,NA
Phasianus colchicus,0.625,NA
Sayornis phoebe,0.0181,NA
Sayornis phoebe,0.0175,NA
Columba livia,0.247,NA
Columba livia,0.282,NA
Lagopus lagopus,0.542,NA
Lagopus lagopus,0.54,NA
Turdus migratorius,0.0693,NA
Aythya marila,0.787,NA
Passer domesticus,0.02326,NA
Passer domesticus,0.02357,NA
Melospiza melodia,0.021,NA
Ciconia abdimii,0.95,NA
Ciconia ciconia,3.35,NA
Ciconia ciconia,3.334,NA
Scopus umbretta,0.3175,NA
Leptoptilos crumeniferus,7.13,NA
Hirundo rustica,0.0215,NA
Hirundo rustica,0.021,NA
Anas carolinensis,0.305,NA
Sturnus vulgaris,0.05835,NA
Sturnus vulgaris,0.05736,NA
Gyps africanus,5.27,NA
Ursus arctos,142.88,NA
Ursus maritimus,199.57,NA
Ursus maritimus,317,NA
Spilogale arizonae,NA,NA
Felis silestris,1.542,NA
Felis silestris,2.885,NA
Felis silestris,3.778,NA
Felis silestris,5.012,NA
Genetta tigrina,1.302,NA
Genetta tigrina,1.525,NA
Bassariscus astutus,NA,NA
Felis silvestris,2.7,NA
Acinonyx jubatus,22.2,NA
Acinonyx jubatus,40.82,NA
Nasua narica,NA,NA
Nasua narica,6.25,NA
Canis latrans,8.51,NA
Canis latrans,NA,NA
Canis familiaris,14.56,NA
Canis familiaris,12.47,NA
Canis familiaris,24.49,NA
Canis familiaris,31.75,NA
Canis familiaris,26.94,NA
Canis familiaris,14.75,NA
Canis familiaris,11.26,NA
Canis familiaris,23.71,NA
Canis familiaris,19.28,NA
Canis familiaris,38.42,NA
Otocyon megalotis,3.335,NA
Urocyon cinereoargenteus,NA,NA
Urocyon cinereoargenteus,3.749,NA
Urocyon cinereoargenteus,NA,NA
Vulpes fulva,4.625,NA
Vulpes lagopus,3.385,NA
Crocuta crocuta,62.37,NA
Canis mesomelas,2.85,NA
Panthera onca,34.47,NA
Potos flavus,2.62,NA
Panthera pardus,48,NA
Puma concolor,28.79,NA
Ichneumia albicauda,4.4,NA
Procyon lotor,5.175,NA
Procyon lotor,2.226,NA
Procyon lotor,4.536,NA
Procyon lotor,5.216,NA
Mephitis mephitis,1.7,NA
Mephitis mephitis,2.26,NA
Conepatus mesoleucus,NA,NA
Conepatus mesoleucus,NA,NA
Leptailurus serval,9.955,NA
Leptailurus serval,5.819,NA
Panthera tigris,160,NA
Panthera tigris,209,NA
Mustela arctica,0.1693,NA
Mustela arctica,0.121,NA
Canis lupus,22.68,NA
Canis lubilus,29.94,NA
Desmodus rotundus,0.028,NA
Tamanduas tetradactyla,3.692,NA
Dasypus novemcinctus,2.086,NA
Dasypus novemcinctus,3.401,NA
Bradypus griseus,0.676,NA
Bradypus griseus,1.115,NA
Bradypus griseus,1.601,NA
Bradypus griseus,2.005,NA
Bradypus griseus,2.894,NA
Bradypus griseus,3.121,NA
Bradypus griseus,3.774,NA
Choloepus hoffmanni,4.825,NA
Choloepus hoffmanni,5.271,NA
Scalopus aquaticus,0.0396,NA
Blarina brevicauda,0.0163,NA
Blarina brevicauda,0.0188,NA
Didelphis marsupialis,1.147,NA
Papio cynocephalus,19.51,NA
Cercopithecus mitis,1.22,NA
Cercopithecus mitis,2.9,NA
Cercopithecus mitis,4.55,NA
Alouatta palliata,6.174,NA
Alouatta palliata,4.309,NA
Alouatta palliata,6.577,NA
Alouatta palliata,7.938,NA
Alouatta palliata,3.119,NA
Lagothrix lagothricha,5.26,NA
Galago senegalensis,0.2,NA
Lemur catta,1.725,NA
Macacus mulatta,3.627,NA
Macacus mulatta,3.292,NA
Macacus mulatta,9.163,NA
Macacus mulatta,8.89,NA
Ateles dariensis,8.89,NA
Cercopithecus sp.,4.937,NA
Cercopithecus aethiops,3.955,NA
Cebus capucinus,2.718,NA
Cebus capucinus,3.833,NA
Cebus capucinus,3.101,NA
Saimiri oerstedii,0.607,NA
Saimiri oerstedii,0.907,NA
Saimiri oerstedii,0.603,NA
Pan troglodytes,25.85,NA
Pan troglodytes,56.69,NA
Pan troglodytes,43.99,NA
Gorilla gorilla,181,NA
Homo sapiens,57.2,NA
Homo sapiens,NA,NA
Homo sapiens,NA,NA
Homo sapiens,95,NA
Homo sapiens,42,NA
Homo sapiens,43.4,NA
Homo sapiens,49.9,NA
Homo sapiens,36.3,NA
Homo sapiens,45,NA
Homo sapiens,37,NA
Homo sapiens,45.8,NA
Homo sapiens,NA,NA
Homo sapiens,NA,NA
Homo sapiens,76.2,NA
Homo sapiens,86.2,NA
Homo sapiens,71.2,NA
Homo sapiens,73,NA
Homo sapiens,78.5,NA
Homo sapiens,36,NA
Homo sapiens,61,NA
Homo sapiens,46,NA
Homo sapiens,43,NA
Homo sapiens,63,NA
Homo sapiens,43,NA
Homo sapiens,44,NA
Homo sapiens,45,NA
Homo sapiens,51,NA
Homo sapiens,83,NA
Homo sapiens,56,NA
Homo sapiens,61,NA
Homo sapiens,51,NA
Homo sapiens,81.6,NA
Homo sapiens,NA,NA
Homo sapiens,79.4,NA
Homo sapiens,81.6,NA
Homo sapiens,74,NA
Homo sapiens,50,NA
Homo sapiens,65.8,NA
Homo sapiens,74.8,NA
Homo sapiens,74.3,NA
Homo sapiens,NA,NA
Homo sapiens,57,NA
Homo sapiens,68,NA
Alligator mississippiensis,52.4,NA
Alligator mississippiensis,109,NA
Alligator mississippiensis,173,NA
Alligator mississippiensis,205,NA
Crocodylus acutus,134,NA
Heloderma suspectum,0.514,NA
Amblyrhynchus cristatus,4.19,NA
Lacerta viridis,0.026,NA
Coluber constrictor,0.59,NA
Coluber constrictor,0.286,NA
Coluber constrictor,0.417,NA
Boa constrictor,1.829,NA
Thamnophis sirtalis,0.052,NA
Thamnophis sirtalis,0.057,NA
Python bivittatus,6.14,NA
Agkistrodon piscivorus,0.728,NA
Clemmys guttata,2.163,NA
Chelydra serpentina,5.125,NA
Chelonia mydas,68.04,NA
Chelonia mydas,114.3,NA
Apalone forex,3.253,NA
Macrochelys lacertina,1.848,NA
Dasyprocta punctata,3.172,NA
Dasyprocta punctata,3.627,NA
Dasyprocta punctata,4.559,NA
Castor canadensis,4.18,NA
Castor canadensis,5.83,NA
Hydrochoerus isthmius,27.67,NA
Tamias striatus,0.075,NA
Tamias striatus,NA,NA
Tamias striatus,NA,NA
Thomomys sp.,NA,NA
Thomomys sp.,NA,NA
Cavia porcellus,0.351,NA
Cavia porcellus,0.361,NA
Cavia porcellus,0.324,NA
Cavia porcellus,0.21494,NA
Cavia porcellus,0.21457,NA
Cavia porcellus,0.432,NA
Cavia porcellus,0.456,NA
Lepus capensis,2.93,NA
Lepus arcticus,1.901,NA
Lepus arcticus,2.64,NA
Lemmus trimucronatus,0.032,NA
Lemmus trimucronatus,0.048,NA
Dicrostonyx groenlandicus,0.0521,NA
Dicrostonyx groenlandicus,0.0552,NA
Mastomys coucha,0.0218,NA
Zapus hudsonicus,0.0193,NA
Zapus hudsonicus,0.0152,NA
Microtus drummondi,0.0237,NA
Microtus drummondi,0.0229,NA
Microtus drummondi,0.0325,NA
Microtus pennsylvanicus,0.0252,NA
Microtus pennsylvanicus,0.0279,NA
Microtus pennsylvanicus,0.0413,NA
Peromyscus sp.,0.0122,NA
Peromyscus sp.,0.0184,NA
Peromyscus sp.,0.02,NA
Ondatra zibethicus,0.9,NA
Erethizon dorsatum,2.8,NA
Erethizon dorsatum,2.725,NA
Erethizon dorsatum,3.41,NA
Cynomys gunnisoni,NA,NA
Sylvilagus audubonii,NA,NA
Lepus sp.,3.68,NA
Lepus sp.,2.587,NA
Lepus californicus,NA,NA
Sylvilagus gabbi,0.439,NA
Neotoma sp.,NA,NA
Neotoma sp.,NA,NA
Rattus norvegicus,0.197,NA
Rattus norvegicus,0.278,NA
Sciurus aberti,NA,NA
Callospermophilus sp.,NA,NA
Spermophilus tridecemlineatus,NA,NA
Tamiasciurus hudsonicus,0.248,NA
Tamiasciurus hudsonicus,0.183,NA
Tamiasciurus hudsonicus,0.169,NA
Tamiasciurus hudsonicus,0.183,NA
Tamiasciurus hudsonicus,0.063,NA
Tamiasciurus hudsonicus,NA,NA
Tamiasciurus hudsonicus,NA,NA
Bison bison,54.88,NA
Syncerus caffer,750,NA
Syncerus caffer,572,NA
Syncerus caffer,759,NA
Tragelaphus sylvaticus,35.38,NA
Tragelaphus sylvaticus,53.07,NA
Rangifer tarandus,71.7,NA
Rangifer tarandus,128.47,NA
Rangifer tarandus,62.14,NA
Emys orbicularis,0.25,NA
Testudo graeca,0.32,NA
Lacerta viridis,0.05,NA
Natrix natrix,0.07,NA
Hierophis viridiflavus,0.22,NA
Phrynocephalus przewalskii,NA,NA
Anolis carolinensis,NA,NA
Leiocephalus carinatus,NA,NA
Sceloporus olivaceus,NA,NA
Hemidactylus turcicus,NA,NA
Scincella lateralis,NA,NA
Aspidoscelis gularis,NA,NA
Anolis cristatellus,NA,NA
Anolis evermanni,NA,NA
Anolis gundlachi,NA,NA
Anolis krugi,NA,NA
Anolis pulchellus,NA,NA
Anolis stratulus,NA,NA
Ctenophorus caudicinctus,0.01528,NA
Ctenophorus cristatus,0.03557,NA
Ctenophorus decresii,0.01608,NA
Ctenophorus fionni,0.01493,NA
Ctenophorus fordi,0.00399,NA
Ctenophorus gibba,0.01507,NA
Ctenophorus isolepis,0.00819,NA
Ctenophorus nuchalis,0.02619,NA
Ctenophorus ornatus,0.02175,NA
Ctenophorus pictus,0.00959,NA
Ctenophorus rufescens,0.02044,NA
Ctenophorus salinarum,0.00884,NA
Ctenophorus tjantjalka,0.01056,NA
Ctenophorus vadnappa,0.01435,NA
Agama inermis,NA,NA
Calotes versicolor,NA,NA
Agama agama,NA,NA
Uromastyx acanthinurus,NA,NA
Anguis fragilis,NA,NA
Furcifer lateralis,NA,NA
Caretta caretta,NA,NA
Thamnophis sirtalis,NA,NA
Natrix maura,NA,NA
Coronella girondica,NA,NA
Zamenis longissima,NA,NA
Coluber constrictor,NA,NA
Naja melanoleuca,NA,NA
Cerastes vipera,NA,NA
Vipera berus,NA,NA
Vipera aspis,NA,NA
Agkistrodon piscivorus,NA,NA
Cordylus cordylus,NA,NA
Anolis auratus,NA,NA
Trachemys scripta,NA,NA
Hemidactylus mabouia,NA,NA
Phelsuma cepediana,NA,NA
Gekko gecko,NA,NA
Zonosaurus quadrilineatus,NA,NA
Zonosaurus maximus,NA,NA
Ameiva sp.,NA,NA
Callopistes maculatus,NA,NA
Iguana iguana,NA,NA
Psammodromus hispanicus,NA,NA
Lacerta vivipara,NA,NA
Lacerta muralis,NA,NA
Psammodromus algirus,NA,NA
Lacerta lepida,NA,NA
Liolaemus chiliensis,NA,NA
Chalarodon madagascariensis,NA,NA
Oplurus cuvieri,NA,NA
Tarentola mauritanica,NA,NA
Python molurus,NA,NA
Chalcides mionecton,NA,NA
Chalcides chalcides,NA,NA
Chalcides ocellatus,NA,NA
Scincus scincus,NA,NA
Eumeces schneiderii,NA,NA
Testudo gracea,NA,NA
Testudo hermanni,NA,NA
Trogonophis wiegmanni,NA,NA
Varanus griseus,NA,NA
Phyllodactylus gerrophygus,NA,NA
Chalcides polylepis,NA,NA
Ophisaurus apodus,NA,NA
Anolis caroliensis,NA,NA
Bronchocela cristatella,NA,NA
Draco volans,NA,NA
Acanthosaura armata,NA,NA
Tupinambis teguinix,NA,NA
Marpissa bina,0.000168,NA
Phidippus clarus,0.00026,NA
Sarinda hentzi,4.60E-06,NA
Zygoballus rufipes,3.00E-06,NA
Tetranychus cinnabarinus,4.94E-09,NA
Phytoseiulus persimilis,8.59E-09,NA
Pardosa lugubris,2.24E-05,NA
Pardosa lugubris,2.14E-05,NA
Marpissa muscosa,3.91E-05,NA
Marpissa muscosa,2.75E-05,NA
Pholcus phalangioideus,2.76E-05,NA
Pholcus phalangioideus,1.13E-05,NA
Aphonopelma anax,0.01319,NA
Aphonopelma anax,0.00778,NA
Damon annulatipes,0.00064,NA
Metazygia rogenhoferi,1.44E-05,NA
Metazygia rogenhoferi,2.35E-05,NA
Metazygia rogenhoferi,1.60E-05,NA
Metazygia rogenhoferi,1.53E-05,NA
Metazygia rogenhoferi,2.45E-05,NA
Metazygia rogenhoferi,1.72E-05,NA
Metazygia rogenhoferi,1.40E-05,NA
Metazygia rogenhoferi,2.04E-05,NA
Metazygia rogenhoferi,1.55E-05,NA
Metazygia rogenhoferi,1.79E-05,NA
Zosis geniculata,3.43E-05,NA
Zosis geniculata,3.01E-05,NA
Zosis geniculata,2.48E-05,NA
Zosis geniculata,2.86E-05,NA
Zosis geniculata,5.11E-05,NA
Zosis geniculata,5.32E-05,NA
Zosis geniculata,3.48E-05,NA
Zosis geniculata,2.42E-05,NA
Zosis geniculata,2.80E-05,NA
Zosis geniculata,2.74E-05,NA
Zosis geniculata,2.80E-05,NA
Zosis geniculata,3.01E-05,NA
Zosis geniculata,4.43E-05,NA
Zosis geniculata,2.42E-05,NA
Zosis geniculata,4.70E-05,NA
Zosis geniculata,2.45E-05,NA
Zosis geniculata,2.87E-05,NA
Zosis geniculata,2.92E-05,NA
Zosis geniculata,6.37E-05,NA
Zosis geniculata,5.01E-05,NA
Mecynogea lemniscata,4.70E-05,NA
Micrathena sagittata,5.20E-05,NA
Nephila clavipes,0.000848,NA
Amblyomma americanum,3.10E-06,NA
Amblyomma maculatum,4.50E-06,NA
Amblyomma cajenense,7.50E-06,NA
Dermacentor andersoni,2.07E-05,NA
Dermacentor variabilis,5.60E-06,NA
Ornithodoros moubata,1.32E-05,NA
Cilliba cassidea,1.03E-07,NA
Cilliba cassidea,9.71E-08,NA
Epicrius mollis,3.95E-08,NA
Epicrius mollis,5.73E-08,NA
Pergamasus crassipes,2.88E-07,NA
Pergamasus crassipes,3.40E-07,NA
Aphonopelma eutylenum,0.01503,NA
Aphonopelma eutylenum,0.00868,NA
Loxosceles laeta,9.72E-05,NA
Loxosceles laeta,9.61E-05,NA
Loxosceles laeta,0.0001112,NA
Loxosceles laeta,7.62E-05,NA
Loxosceles laeta,0.0001979,NA
Loxosceles laeta,0.0002917,NA
Loxosceles laeta,0.0003279,NA
Loxosceles laeta,0.0001655,NA
Loxosceles laeta,0.0001839,NA
Loxosceles deserta,7.90E-05,NA
Loxosceles deserta,6.32E-05,NA
Plectreurys tristis,0.0003404,NA
Plectreurys tristis,8.10E-05,NA
Plectreurys sp.,6.47E-05,NA
Steatoda medialis,2.43E-05,NA
Latrodectus mactans,0.0003505,NA
Latrodectus mactans,4.82E-05,NA
Latrodectus mactans,0.000169,NA
Frontinella pyramitela,4.60E-06,NA
Frontinella pyramitela,4.80E-06,NA
Frontinella pyramitela,7.60E-06,NA
Cyclosa conica,1.05E-05,NA
Cyclosa conica,1.08E-05,NA
Neoscona oacavensis,0.0001406,NA
Neoscona oacavensis,0.0001931,NA
Argiope aurantia,0.000258,NA
Argiope aurantia,0.000858,NA
Argiope aurantia,0.000853,NA
Agelenopsis aperta,0.0006325,NA
Agelenopsis aperta,0.000715,NA
Agelenopsis aperta,0.0003208,NA
Schizocosa pacifica,0.0005121,NA
Peucetia viridans,0.0001616,NA
Peucetia viridans,0.0001332,NA
