Species,BodyMass,Longevity
Bubo scandiacus,1954,28
Chlorostilbon mellisugus,2.73,NA
Pheugopedius rutilus,16,NA
Setophaga fusca,9.75,8.2
Passerella iliaca,33.8,10.33
Hylocichla mustelina,48.65,10.17
Contopus cooperi,32.77,11.08
Regulus calendula,6.58,5.6
Chen caerulescens,2630.75,27.5
Chordeiles minor,79.3,10
Quiscalus quiscula,111,23.1
Colaptes auratus,130.67,12.5
Falco sparverius,115.5,17
Charadrius vociferus,94.28,10.92
Selasphorus sasin,3.17,5.92
Pooecetes gramineus,25.15,7.9
Vermivora cyanoptera,8.93,9
Agelaius phoeniceus,54,20
Corvus ossifragus,285.05,14.5
Vermivora cyanoptera x chrysoptera (F1 hybrid),8.9325,9
Dumetella carolinensis,35.35,17.92
Oreothlypis ruficapilla,NA,NA
Turdus migratorius,78.78,17
Icterus galbula,33.9,14
Haemorhous purpureus,25.23,14
Vermivora chrysoptera,8.9,7.92
Lophodytes cucullatus,617,14.5
Aix sponsa,657.5,22.5
Sayornis saya,21,5
Calcarius lapponicus,28,6
Ciccaba virgata,NA,NA
Columbina talpacoti,46.38,NA
Tyto alba,381.6,34
Ara macao,1015,64
Onychoprion fuscatus,183,35.8
Phalaropus lobatus,35,9.92
Cardinalis sinuatus,35.5,8.08
Myiozetetes cayanensis,25.9,NA
Melanitta fusca,1732,21.42
Plegadis falcinellus,633.75,26.8
Butorides striata,198,7.92
Nycticorax nycticorax,800,21.1
Cantorchilus nigricapillus,23.45,NA
Aphelocoma wollweberi,124,25
Colaptes campestris,158,NA
Myiopsitta monachus,108.63,22.1
Piranga ludoviciana,30,15.3
Egretta caerulea,339.5,13.92
Pluvialis dominica,151,25.92
Megascops kennicottii,180,19
Pinicola enucleator,57,9.8
Larus glaucoides,863,33
Chroicocephalus philadelphia,191,NA
Calidris alba,55.55,18.58
Gymnorhinus cyanocephalus,105,14.58
Pandion haliaetus,1527.5,32
Accipiter striatus,138.5,19.9
Coccyzus americanus,61,5
Bombycilla cedrorum,32.05,12.67
Ammodramus savannarum,17.9,9.08
Chaetura pelagica,23.5,15
Larus argentatus,1085,49
Buteo regalis,1469.5,23.7
Charadrius semipalmatus,52,20.83
Arenaria interpres,135,21.42
Plegadis chihi,583.75,20.4
Amazona albifrons,209,25.3
Tachycineta thalassina,14.15,9.08
Cygnus columbianus,6350,24.1
Podiceps auritus,420.58,13
Phalacrocorax carbo,2200,27.17
Calidris subruficollis,NA,NA
Ictinia plumbea,245.25,NA
Phalacrocorax auritus,1876.5,22.5
Sula nebouxii,1542,18
Mergus serrator,1042.58,21.33
Aythya marila/affinis,NA,NA
Tachyphonus rufus,34.25,NA
Zenaida macroura,119,31.33
Buteogallus anthracinus,996,13.5
Anas crecca,343.8,27.1
Anas discors,398.5,23.25
Fulica americana,620.5,22.33
Regulus satrapa,6.1,6.33
Columbina passerina,35,7.2
Oxyura jamaicensis,550,13.6
Claravis pretiosa,70.4,NA
Gallinula galeata,377,18.6
Sterna hirundo,124,33
Grus canadensis,4170,36.58
Sternula antillarum,46.85,24.1
Podiceps grisegena,946.5,11
Limosa fedoa,370.25,13.7
Dendrocolaptes picumnus,85.38,NA
Pachyramphus aglaiae,29.7,NA
Gallinago delicata,116,18.2
Poecile gambeli,11.52,10.1
Geothlypis tolmiei,10.5,9
Sitta canadensis,10.35,7.5
Charadrius melodus,54.41,14
Zonotrichia querula,35.55,11.7
Podilymbus podiceps,440,NA
Micrastur semitorquatus,641,NA
Thalurania colombica,4.35,NA
Cypseloides niger,42.45,16.1
Icteria virens,25.3,8.92
Empidonax alnorum,13.2,9.08
Cairina moschata (Domestic type),NA,NA
Aythya marila,959,22.1
Aramides cajaneus,432.5,NA
Selasphorus rufus,3.5,8.92
Hydroprogne caspia,654.67,30
Ramphastos ambiguus,694.5,NA
Aquila chrysaetos,4383,48
Sphyrapicus varius,50.3,7.75
Spizelloides arborea,NA,NA
Setophaga caerulescens,10.2,10
Henicorhina leucophrys,16.4,NA
Phasianus colchicus,1043.75,27
Peucaea botterii,20.13,NA
Corvus cryptoleucus,536.5,21.8
Cyanocitta stelleri,120,16.1
Glaucis aeneus,6,NA
Cygnus buccinator,10300,32.5
Sturnus vulgaris,77.68,22.92
Icteridae sp.,NA,NA
Setophaga dominica,9.7,6.08
Colinus virginianus,173.33,6.42
Myiodynastes maculatus,43.35,NA
Catharus minimus,31.6,7.34
Egretta thula,370,22.83
Cistothorus palustris,11.25,NA
Empidonax traillii,13.25,11
Haemorhous mexicanus,21.4,11.6
Trogon collaris,66.7,NA
Saltator atriceps,88.1,NA
Camptostoma imberbe,7.4,5.8
Buteo platypterus,437,18.33
Sayornis phoebe,19.7,10.33
Coccyzus erythropthalmus,49.57,5
Cardinalis cardinalis,43.05,28.5
Larus canus,415.75,33.7
Ortalis cinereiceps,512.5,NA
Euphonia hirundinacea,15.2,NA
Setophaga ruticilla,8.35,10.1
Archilochus colubris,3.14,9.1
Bartramia longicauda,152.25,8.92
Calidris canutus,137.07,26.67
Aythya valisineria,1218.67,29.5
Melospiza lincolnii,17.4,7.6
Vireo flavifrons,18,6.1
Basileuterus tristriatus,12.05,NA
Amazona farinosa,664.81,NA
